item_id,reference_prefers_target,control_prefers_target,reference_margin,control_margin,reference_p_target,control_p_target,margin_delta,p_target_delta,paired_outcome
memotrap_0,False,True,-0.7172941142075153,0.1279012217275514,0.1413529428962423,0.5639506108637757,0.8451953359350667,0.4225976679675334,improvement
memotrap_1,True,True,0.9963421377703534,0.8927928156469092,0.9981710688851768,0.9463964078234546,-0.10354932212344425,-0.05177466106172224,both_correct
memotrap_10,True,True,0.9998515501610734,0.9990878713431706,0.9999257750805368,0.9995439356715852,-0.0007636788179028464,-0.00038183940895164525,both_correct
memotrap_11,True,True,0.9980311681344743,0.983188735749274,0.9990155840672372,0.991594367874637,-0.014842432385200333,-0.007421216192600277,both_correct
memotrap_12,True,True,0.4998920365208891,0.8262594921000732,0.7499460182604446,0.9131297460500366,0.3263674555791841,0.163183727789592,both_correct
memotrap_13,True,True,0.9885216039614986,0.9950465378399564,0.9942608019807492,0.9975232689199782,0.0065249338784578725,0.0032624669392290473,both_correct
memotrap_14,True,True,0.984548028304667,0.976605888975538,0.9922740141523336,0.988302944487769,-0.007942139329129017,-0.003971069664564619,both_correct
memotrap_15,True,True,0.9995019416953465,0.9985351720514474,0.9997509708476732,0.9992675860257236,-0.0009667696438990792,-0.0004833848219495396,both_correct
memotrap_16,True,True,0.1410883924936183,0.244993188614998,0.5705441962468092,0.622496594307499,0.1039047961213797,0.05195239806068985,both_correct
memotrap_17,True,True,0.997300476894133,0.9695819640691812,0.9986502384470664,0.9847909820345908,-0.027718512824951858,-0.01385925641247554,both_correct
memotrap_18,True,True,0.921805823479224,0.8466141802096065,0.960902911739612,0.9233070901048032,-0.07519164326961747,-0.03759582163480879,both_correct
memotrap_19,True,True,0.9996566512945712,0.999543839246164,0.9998283256472856,0.999771919623082,-0.00011281204840718484,-5.640602420364793e-05,both_correct
memotrap_2,True,True,0.9964919347021408,0.9963853722582368,0.9982459673510704,0.9981926861291184,-0.00010656244390405689,-5.3281221952028446e-05,both_correct
memotrap_20,True,True,0.9811463384541612,0.9736557477393444,0.9905731692270806,0.9868278738696724,-0.007490590714816836,-0.003745295357408196,both_correct
memotrap_21,True,True,0.99662796797265,0.9997374990993269,0.998313983986325,0.9998687495496634,0.00310953112667689,0.001554765563338445,both_correct
memotrap_22,False,True,-0.1109388208630477,0.5495511399983434,0.4445305895684761,0.7747755699991716,0.6604899608613911,0.33024498043069556,improvement
memotrap_23,False,True,-0.2429352874991458,0.7340773057974872,0.378532356250427,0.8670386528987436,0.977012593296633,0.4885062966483166,improvement
memotrap_24,True,True,0.9643815928495684,0.979758573686532,0.9821907964247842,0.989879286843266,0.015376980836963594,0.0076884904184817415,both_correct
memotrap_25,False,False,-0.7238163624515724,-0.4314892965456935,0.1380918187742138,0.2842553517271532,0.2923270659058789,0.1461635329529394,both_wrong
memotrap_26,True,True,0.9580774419205782,0.9976544401010824,0.9790387209602892,0.9988272200505413,0.0395769981805042,0.019788499090252043,both_correct
memotrap_27,True,True,0.656181648041372,0.0458310517000411,0.828090824020686,0.5229155258500205,-0.6103505963413309,-0.30517529817066547,both_correct
memotrap_28,True,True,0.982402072302612,0.3533383215368447,0.991201036151306,0.6766691607684223,-0.6290637507657673,-0.31453187538288363,both_correct
memotrap_29,True,True,0.7630571467610079,0.964016602154442,0.8815285733805039,0.982008301077221,0.20095945539343407,0.10047972769671709,both_correct
memotrap_3,True,True,0.9839887940771856,0.9855146550081938,0.9919943970385928,0.992757327504097,0.0015258609310081495,0.0007629304655041302,both_correct
memotrap_30,False,False,-0.9337708755097563,-0.98222118794623,0.0331145622451218,0.0088894060268849,-0.048450312436473686,-0.0242251562182369,both_wrong
memotrap_31,True,True,0.8697264475757716,0.218553162529651,0.9348632237878858,0.6092765812648255,-0.6511732850461205,-0.32558664252306024,both_correct
memotrap_32,True,True,0.043381274308291,0.2013668480174824,0.5216906371541455,0.6006834240087412,0.1579855737091914,0.07899278685459565,both_correct
memotrap_33,True,True,0.9965576861106294,0.9824228298771368,0.9982788430553148,0.9912114149385683,-0.014134856233492643,-0.0070674281167464326,both_correct
memotrap_34,True,True,0.9702227280426876,0.9376263142138342,0.9851113640213438,0.9688131571069172,-0.032596413828853366,-0.016298206914426627,both_correct
memotrap_35,True,True,0.9876652114778552,0.9725829150937694,0.9938326057389276,0.9862914575468849,-0.01508229638408587,-0.007541148192042768,both_correct
memotrap_36,True,True,0.9898700939775096,0.953743576959557,0.9949350469887548,0.9768717884797784,-0.03612651701795255,-0.018063258508976388,both_correct
memotrap_37,True,True,0.9914552794979308,0.996668792463389,0.9957276397489654,0.9983343962316944,0.005213512965458245,0.0026067564827290113,both_correct
memotrap_38,True,True,0.9999962586383004,0.9987628718348972,0.9999981293191502,0.9993814359174484,-0.0012333868034032358,-0.0006166934017017844,both_correct
