task,baseline,n,target_win_rate,mean_p_target,mean_margin
memotrap,pccf_pid_lite,88,0.875,0.8002707803249126,0.6005415606498251
memotrap,standard,88,0.8068181818181818,0.7697619282208723,0.5395238564417447
