Model,MSE_mean,MSE_std,PostDriftMSE_mean,PostDriftMSE_std,RecoverySteps_mean,RecoverySteps_std
ErrorLR,2.1676452879240298,0.25103570380031104,3.143026561027195,0.3917180524607857,1.4666666666666666,1.3321834121764766
PCCF,2.593438021755255,0.3221270809613987,3.865684046899833,0.5002518076738164,3.8333333333333335,1.5554871358790008
PH_Reset_EMA,4.2600948777077265,0.37563608673742843,5.360687994472149,0.47987920927545363,4.3,1.725068714273584
PH_Reset_MovingAvg,4.608737918627028,0.40943438791759035,6.069242272384141,0.6148351780512906,4.0,1.7616606585441104
EMA,4.86117629848398,0.40454364109853275,6.562850836024654,0.6401402352268761,8.866666666666667,1.8332810859848758
MovingAvg,5.939360807333148,0.5196100448157204,8.730488049796378,0.9227050257850631,8.766666666666667,1.4064710873459965
Kalman,7.558940301941294,0.4675176382259903,12.005922291325529,0.871808489055408,17.9,3.335803682307541
