Reference,ComparedTo,Mean(reference),Mean(compared),MeanDiff(reference-compared),PermutationPValue(two-sided),N,NPerm
PCCF,MovingAvg,2.593438021755255,5.939360807333148,-3.3459227855778915,4.999750012499375e-05,30,20000
PCCF,EMA,2.593438021755255,4.86117629848398,-2.2677382767287253,4.999750012499375e-05,30,20000
PCCF,Kalman,2.593438021755255,7.558940301941294,-4.965502280186038,4.999750012499375e-05,30,20000
PCCF,ErrorLR,2.593438021755255,2.1676452879240298,0.42579273383122573,4.999750012499375e-05,30,20000
PCCF,PH_Reset_MovingAvg,2.593438021755255,4.608737918627028,-2.0152998968717726,4.999750012499375e-05,30,20000
PCCF,PH_Reset_EMA,2.593438021755255,4.2600948777077265,-1.6666568559524713,4.999750012499375e-05,30,20000
