Reference,ComparedTo,Mean(reference),Mean(compared),MeanDiff(reference-compared),PermutationPValue(two-sided),N,NPerm
PCCF,MovingAvg,3.8333333333333335,8.766666666666667,-4.933333333333334,4.999750012499375e-05,30,20000
PCCF,EMA,3.8333333333333335,8.866666666666667,-5.033333333333333,4.999750012499375e-05,30,20000
PCCF,Kalman,3.8333333333333335,17.9,-14.066666666666666,4.999750012499375e-05,30,20000
PCCF,ErrorLR,3.8333333333333335,1.4666666666666666,2.3666666666666667,4.999750012499375e-05,30,20000
PCCF,PH_Reset_MovingAvg,3.8333333333333335,4.0,-0.16666666666666666,0.7168641567921604,30,20000
PCCF,PH_Reset_EMA,3.8333333333333335,4.3,-0.4666666666666667,0.25963701814909257,30,20000
