Model,NLL_mean,NLL_std,PostNLL_mean,PostNLL_std,Recovery_mean,Recovery_std
PCCF,0.21734273498091553,0.04284710475683808,0.2577855095780032,0.07607832698831198,10.45,4.53611240926343
LossLR,0.23235167652551353,0.03994469778499272,0.26917404042162524,0.06338066604600318,12.8,4.595191995301634
FixedLR,0.25889148261968553,0.0461626880972452,0.3109352461067828,0.08668787104923055,15.25,3.596416344962828
PH_Reset,0.30346588473251657,0.0538338673731007,0.3354921039322799,0.09130182360439393,11.85,5.153179907386772
