item_id,reference_prefers_target,control_prefers_target,reference_margin,control_margin,reference_p_target,control_p_target,margin_delta,p_target_delta,paired_outcome
memotrap_0,True,False,0.0904218291980068,-0.7639770057904006,0.5452109145990034,0.1180114971047996,-0.8543988349884074,-0.42719941749420376,regression
memotrap_1,True,True,0.8927928156469092,0.990223854032847,0.9463964078234546,0.9951119270164236,0.09743103838593781,0.048715519192969015,both_correct
memotrap_10,True,True,0.9990878713431706,0.9987178459604356,0.9995439356715852,0.9993589229802178,-0.0003700253827350064,-0.00018501269136739218,both_correct
memotrap_11,True,True,0.983188735749274,0.997901684953544,0.991594367874637,0.998950842476772,0.01471294920427002,0.007356474602135066,both_correct
memotrap_12,False,True,-0.7741782160830434,0.9145733751182208,0.1129108919584782,0.9572866875591104,1.6887515912012643,0.8443757956006321,improvement
memotrap_13,True,True,0.9950465378399564,0.9665793802431,0.9975232689199782,0.98328969012155,-0.028467157596856474,-0.014233578798428237,both_correct
memotrap_14,True,True,0.976605888975538,0.98453667635362,0.988302944487769,0.99226833817681,0.00793078737808195,0.00396539368904103,both_correct
memotrap_15,True,True,0.9985351720514474,0.9998296914370434,0.9992675860257236,0.9999148457185216,0.0012945193855959936,0.0006472596927979968,both_correct
memotrap_16,True,True,0.244993188614998,0.1292811480355005,0.622496594307499,0.5646405740177503,-0.1157120405794975,-0.05785602028974879,both_correct
memotrap_17,True,True,0.9695819640691812,0.985213967280083,0.9847909820345908,0.9926069836400416,0.015632003210901857,0.007816001605450817,both_correct
memotrap_18,True,True,0.8466141802096065,0.9754382119883516,0.9233070901048032,0.987719105994176,0.12882403177874502,0.06441201588937284,both_correct
memotrap_19,True,True,0.999543839246164,0.9981129601898364,0.999771919623082,0.999056480094918,-0.0014308790563275497,-0.0007154395281639969,both_correct
memotrap_2,True,True,0.9963853722582368,0.9917755828730702,0.9981926861291184,0.995887791436535,-0.004609789385166541,-0.002304894692583326,both_correct
memotrap_20,True,True,0.9736557477393444,0.8325884271922785,0.9868278738696724,0.9162942135961392,-0.14106732054706583,-0.07053366027353325,both_correct
memotrap_21,True,True,0.9997374990993269,0.8904725118352095,0.9998687495496634,0.9452362559176049,-0.10926498726411737,-0.054632493632058576,both_correct
memotrap_22,True,False,0.5495511399983434,-0.8479775660903174,0.7747755699991716,0.0760112169548413,-1.3975287060886608,-0.6987643530443304,regression
memotrap_23,True,False,0.7340773057974872,-0.7228459945679959,0.8670386528987436,0.1385770027160019,-1.4569233003654831,-0.7284616501827417,regression
memotrap_24,True,True,0.979758573686532,0.8691667118112584,0.989879286843266,0.9345833559056292,-0.11059186187527359,-0.05529593093763674,both_correct
memotrap_25,False,True,-0.9595944289920858,0.1703648973027139,0.0202027855039571,0.585182448651357,1.1299593262947998,0.5649796631474,improvement
memotrap_26,True,True,0.9976544401010824,0.6848413137743241,0.9988272200505413,0.8424206568871621,-0.3128131263267583,-0.1564065631633792,both_correct
memotrap_27,False,True,-0.0371223492435343,0.6056695751932873,0.4814388253782328,0.8028347875966437,0.6427919244368216,0.32139596221841094,improvement
memotrap_28,True,True,0.3533383215368447,0.9930670036142768,0.6766691607684223,0.9965335018071384,0.6397286820774322,0.3198643410387161,both_correct
memotrap_29,True,True,0.964016602154442,0.5473360590954894,0.982008301077221,0.7736680295477447,-0.4166805430589525,-0.20834027152947632,both_correct
memotrap_3,True,True,0.9855146550081938,0.9851302096968962,0.992757327504097,0.992565104848448,-0.0003844453112975543,-0.0001922226556489992,both_correct
memotrap_30,False,False,-0.98222118794623,-0.5827082861804596,0.0088894060268849,0.2086458569097702,0.3995129017657705,0.1997564508828853,both_wrong
memotrap_31,True,True,0.1537343457681539,0.9076259374480758,0.576867172884077,0.953812968724038,0.7538915916799219,0.376945795839961,both_correct
memotrap_32,True,False,0.1980886990354789,-0.0540028045151322,0.5990443495177394,0.4729985977424338,-0.2520915035506111,-0.12604575177530564,regression
memotrap_33,True,True,0.9824228298771368,0.9799118023136258,0.9912114149385683,0.9899559011568128,-0.002511027563510959,-0.0012555137817555906,both_correct
memotrap_34,True,True,0.9376263142138342,0.9393929188394596,0.9688131571069172,0.9696964594197296,0.0017666046256253898,0.0008833023128124173,both_correct
memotrap_35,True,True,0.9725829150937694,0.9086710246330748,0.9862914575468849,0.9543355123165372,-0.06391189046069456,-0.031955945230347615,both_correct
memotrap_36,True,True,0.953743576959557,0.9649169575460292,0.9768717884797784,0.9824584787730146,0.011173380586472215,0.005586690293236218,both_correct
memotrap_37,True,True,0.996668792463389,0.3621172242426862,0.9983343962316944,0.6810586121213431,-0.6345515682207028,-0.3172757841103513,both_correct
memotrap_38,True,True,0.9987628718348972,0.9998189902395236,0.9993814359174484,0.9999094951197618,0.0010561184046263827,0.0005280592023133579,both_correct
memotrap_39,True,True,0.9995984490840728,0.999486237133792,0.9997992245420364,0.999743118566896,-0.00011221195028077169,-5.6105975140385844e-05,both_correct
memotrap_4,True,True,0.6909974512994774,0.902493742728156,0.8454987256497387,0.951246871364078,0.21149629142867854,0.10574814571433933,both_correct
memotrap_40,False,False,-0.9928770148286806,-0.9965884997112878,0.0035614925856596,0.001705750144356,-0.0037114848826071967,-0.0018557424413036,both_wrong
memotrap_41,True,True,0.9426636849464654,0.9846220380374272,0.9713318424732328,0.9923110190187135,0.04195835309096185,0.02097917654548076,both_correct
memotrap_42,True,True,0.9753855349617786,0.8330380892660216,0.9876927674808892,0.9165190446330108,-0.14234744569575697,-0.07117372284787837,both_correct
memotrap_43,False,False,-0.8994821981227882,-0.8963986827059078,0.0502589009386059,0.051800658647046,0.0030835154168803447,0.001541757708440103,both_wrong
memotrap_44,True,True,0.9950050853952518,0.8875005542133547,0.997502542697626,0.9437502771066774,-0.10750453118189707,-0.05375226559094859,both_correct
