task,baseline,n,target_win_rate,mean_p_target,mean_margin
memotrap,conflict_prompt_pccf_pi0.7,88,0.7727272727272727,0.7185245572511243,0.43704911450224854
memotrap,global_pccf_pi0.7,88,0.75,0.6961366401608601,0.39227328032172015
memotrap,conflict_prompt,88,0.7272727272727273,0.6785747902148619,0.3571495804297238
memotrap,standard,88,0.6818181818181818,0.652674532631325,0.3053490652626501
