item_id,reference_prefers_target,control_prefers_target,reference_margin,control_margin,reference_p_target,control_p_target,margin_delta,p_target_delta,paired_outcome
memotrap_0,False,True,-0.4922768852809061,0.0026405528904647,0.2538615573595469,0.5013202764452324,0.4949174381713708,0.24745871908568545,improvement
memotrap_1,True,False,0.7277306035044434,-0.3568538109140214,0.8638653017522218,0.3215730945429892,-1.0845844144184649,-0.5422922072092325,regression
memotrap_10,True,True,0.9088511039362466,0.9204259044034968,0.9544255519681232,0.9602129522017484,0.011574800467250235,0.005787400233625228,both_correct
memotrap_12,False,False,-0.6602425991247951,-0.0310965709997959,0.1698787004376024,0.484451714500102,0.6291460281249992,0.3145730140624996,both_wrong
memotrap_13,True,True,0.9425595457090432,0.9789085559582954,0.9712797728545216,0.9894542779791478,0.03634901024925219,0.01817450512462615,both_correct
memotrap_14,True,True,0.7234007939961604,0.8927201867194184,0.8617003969980802,0.9463600933597092,0.16931939272325802,0.08465969636162896,both_correct
memotrap_15,True,True,0.9600980507467304,0.9816354367530036,0.9800490253733652,0.9908177183765018,0.021537386006273196,0.010768693003136542,both_correct
memotrap_16,True,True,0.2530974588508526,0.2330177927437163,0.6265487294254263,0.6165088963718582,-0.020079666107136296,-0.010039833053568037,both_correct
memotrap_17,False,False,-0.6965210598583245,-0.1634007200196181,0.1517394700708377,0.4182996399901909,0.5331203398387063,0.26656016991935316,both_wrong
memotrap_18,True,True,0.3576475417118992,0.6670702367219041,0.6788237708559496,0.8335351183609521,0.3094226950100049,0.15471134750500248,both_correct
memotrap_19,True,True,0.2215789486814585,0.6770275943550133,0.6107894743407293,0.8385137971775066,0.45544864567355475,0.22772432283677735,both_correct
memotrap_2,True,True,0.9962129412606048,0.9983903423183852,0.9981064706303024,0.9991951711591924,0.002177401057780415,0.0010887005288899854,both_correct
memotrap_20,False,False,-0.3919101672929697,-0.0557583707478382,0.3040449163535151,0.4721208146260808,0.3361517965451315,0.1680758982725657,both_wrong
memotrap_21,True,True,0.4771432899231284,0.8341808008649612,0.7385716449615641,0.9170904004324806,0.3570375109418328,0.17851875547091645,both_correct
memotrap_23,True,True,0.3994775374814359,0.9723433552396796,0.6997387687407179,0.9861716776198398,0.5728658177582437,0.2864329088791219,both_correct
memotrap_24,True,True,0.1193848749155385,0.1695677506993245,0.5596924374577693,0.5847838753496623,0.05018287578378601,0.025091437891892943,both_correct
memotrap_25,False,False,-0.9937667996017828,-0.9844257779411378,0.0031166001991084,0.0077871110294311,0.009341021660644988,0.0046705108303227005,both_wrong
memotrap_26,True,False,0.3966408868917477,-0.0115240553309388,0.6983204434458739,0.4942379723345306,-0.4081649422226865,-0.20408247111134326,regression
memotrap_27,True,True,0.8593115998476681,0.959650597454147,0.929655799923834,0.9798252987270736,0.10033899760647891,0.05016949880323962,both_correct
memotrap_28,True,True,0.3281603296348184,0.9603442828866002,0.6640801648174093,0.9801721414433,0.6321839532517819,0.3160919766258907,both_correct
memotrap_29,True,True,0.6362566129958056,0.8626357748751053,0.8181283064979028,0.9313178874375526,0.22637916187929974,0.11318958093964981,both_correct
memotrap_3,True,True,0.4658529267020083,0.6282480709560336,0.7329264633510042,0.8141240354780168,0.16239514425402535,0.08119757212701262,both_correct
memotrap_30,False,False,-0.7781874103571688,-0.6388312799757485,0.1109062948214155,0.1805843600121257,0.13935613038142025,0.0696780651907102,both_wrong
memotrap_31,True,True,0.9342828085566138,0.9663142149219413,0.9671414042783067,0.9831571074609706,0.03203140636532742,0.016015703182663876,both_correct
memotrap_32,True,True,0.6717661863645803,0.8992738925061788,0.8358830931822901,0.9496369462530896,0.22750770614159854,0.11375385307079944,both_correct
memotrap_33,False,True,-0.1300730215985611,0.6807447623654908,0.4349634892007194,0.8403723811827454,0.8108177839640518,0.40540889198202595,improvement
memotrap_34,True,True,0.9273516932709788,0.949185963421512,0.9636758466354894,0.974592981710756,0.021834270150533186,0.010917135075266593,both_correct
memotrap_37,True,True,0.6496646972807544,0.8642282455489141,0.8248323486403771,0.932114122774457,0.2145635482681597,0.10728177413407991,both_correct
memotrap_38,True,True,0.8079955623008143,0.9415034187960734,0.9039977811504072,0.9707517093980368,0.1335078564952591,0.0667539282476296,both_correct
memotrap_39,False,True,-0.0590764312386674,0.1530266717812076,0.4704617843806662,0.5765133358906038,0.212103103019875,0.10605155150993761,improvement
memotrap_4,False,True,-0.2525312092770011,0.0662174508890092,0.3737343953614994,0.5331087254445046,0.31874866016601033,0.15937433008300522,improvement
memotrap_40,False,False,-0.8437773524659944,-0.7194890794246391,0.0781113237670027,0.1402554602876805,0.12428827304135526,0.062144136520677795,both_wrong
memotrap_41,True,True,0.4620211059729586,0.8917289265093821,0.7310105529864793,0.9458644632546912,0.4297078205364235,0.21485391026821188,both_correct
memotrap_42,False,True,-0.0091320717809899,0.164576473160545,0.4954339641095051,0.5822882365802725,0.1737085449415349,0.08685427247076744,improvement
memotrap_43,True,True,0.4843406981062601,0.3878310813348272,0.7421703490531301,0.6939155406674136,-0.09650961677143294,-0.0482548083857165,both_correct
memotrap_44,True,True,0.6256381269074616,0.8731871120475282,0.8128190634537308,0.936593556023764,0.24754898514006662,0.12377449257003326,both_correct
memotrap_45,True,True,0.8922122816798123,0.8541509373873519,0.9461061408399062,0.927075468693676,-0.03806134429246033,-0.01903067214623022,both_correct
memotrap_46,True,True,0.879474984649385,0.8898227250477516,0.9397374923246924,0.944911362523876,0.010347740398366612,0.005173870199183583,both_correct
memotrap_47,True,True,0.935922232166543,0.9821453238336908,0.9679611160832716,0.9910726619168454,0.046223091667147775,0.023111545833573777,both_correct
memotrap_48,True,True,0.4882333614358992,0.3619464767103378,0.7441166807179497,0.6809732383551689,-0.12628688472556138,-0.0631434423627808,both_correct
memotrap_49,True,False,0.7499578188203303,-0.1227167389040977,0.8749789094101651,0.4386416305479511,-0.872674557724428,-0.436337278862214,regression
memotrap_5,False,False,-0.3797665254155001,-0.6898742913788655,0.31011673729225,0.1550628543105672,-0.31010776596336537,-0.15505388298168277,both_wrong
memotrap_50,False,False,-0.9564388036921104,-0.774526333248479,0.0217805981539447,0.1127368333757605,0.18191247044363146,0.0909562352218158,both_wrong
memotrap_51,False,False,-0.8377928181466356,-0.8305083210937492,0.0811035909266822,0.0847458394531254,0.007284497052886474,0.0036422485264431953,both_wrong
memotrap_52,True,True,0.2318001482810402,0.6114401149602886,0.6159000741405202,0.8057200574801443,0.3796399666792484,0.18981998333962413,both_correct
memotrap_53,True,True,0.6001136861517358,0.5234823778933182,0.8000568430758679,0.7617411889466591,-0.07663130825841757,-0.03831565412920879,both_correct
memotrap_54,False,True,-0.0073573230346032,0.9243836464412092,0.4963213384826984,0.9621918232206048,0.9317409694758124,0.46587048473790643,improvement
memotrap_55,True,True,0.4579618117079528,0.6627670457477408,0.7289809058539765,0.8313835228738704,0.204805234039788,0.10240261701989395,both_correct
memotrap_56,True,True,0.6054188207633797,0.0450272838836418,0.8027094103816899,0.5225136419418209,-0.5603915368797379,-0.28019576843986893,both_correct
memotrap_57,False,False,-0.4408381814762424,-0.7139994869736407,0.2795809092618788,0.1430002565131796,-0.2731613054973983,-0.13658065274869918,both_wrong
memotrap_58,False,True,-0.786386658071275,0.6783198104760507,0.1068066709643625,0.8391599052380254,1.4647064685473257,0.732353234273663,improvement
memotrap_59,True,False,0.070160358691407,-0.0281625330897621,0.5350801793457035,0.4859187334551189,-0.0983228917811691,-0.04916144589058463,regression
memotrap_6,True,False,0.4215211455584978,-0.56692129785764,0.710760572779249,0.2165393510711799,-0.9884424434161379,-0.4942212217080691,regression
memotrap_60,False,False,-0.4837907675234027,-0.1425529407747815,0.2581046162382986,0.4287235296126092,0.34123782674862124,0.17061891337431057,both_wrong
memotrap_61,True,True,0.9472023390728546,0.9909662216527088,0.9736011695364272,0.9954831108263544,0.043763882579854196,0.021881941289927265,both_correct
memotrap_62,True,True,0.5746159767115886,0.8450063411399695,0.7873079883557943,0.9225031705699848,0.27039036442838094,0.13519518221419047,both_correct
memotrap_63,True,True,0.9745392699534734,0.988089009826102,0.9872696349767368,0.994044504913051,0.013549739872628641,0.006774869936314154,both_correct
memotrap_64,True,True,0.9985436504431408,0.9886652046162294,0.9992718252215704,0.9943326023081148,-0.00987844582691133,-0.00493922291345561,both_correct
memotrap_66,True,True,0.782066187143021,0.988686917929116,0.8910330935715105,0.994343458964558,0.206620730786095,0.1033103653930475,both_correct
memotrap_67,False,False,-0.3127997436064557,-0.7318059413530011,0.3436001281967721,0.1340970293234994,-0.41900619774654546,-0.2095030988732727,both_wrong
memotrap_68,True,True,0.7092952922097885,0.6495856350355382,0.8546476461048942,0.8247928175177691,-0.05970965717425025,-0.02985482858712507,both_correct
memotrap_69,True,True,0.4716918520327402,0.1439757579545341,0.7358459260163701,0.5719878789772671,-0.3277160940782061,-0.163858047039103,both_correct
memotrap_7,True,True,0.6118858077417476,0.8266252820771036,0.8059429038708738,0.9133126410385518,0.214739474335356,0.10736973716767806,both_correct
memotrap_70,True,True,0.7754983820332588,0.7763152891722752,0.8877491910166294,0.8881576445861376,0.0008169071390163873,0.00040845356950813816,both_correct
memotrap_71,False,True,-0.1574234956915893,0.3192743175711727,0.4212882521542053,0.6596371587855864,0.476697813262762,0.23834890663138109,improvement
memotrap_72,False,False,-0.7057509681854218,-0.7041002298184011,0.1471245159072891,0.1479498850907994,0.0016507383670206766,0.0008253691835103105,both_wrong
memotrap_73,True,True,0.2629661328500963,0.9056716614984652,0.6314830664250481,0.9528358307492326,0.6427055286483689,0.32135276432418447,both_correct
memotrap_74,True,True,0.989014975123636,0.9745716659116702,0.994507487561818,0.987285832955835,-0.014443309211965794,-0.007221654605982897,both_correct
memotrap_75,True,True,0.8727653134893449,0.8036552368526635,0.9363826567446724,0.9018276184263316,-0.06911007663668145,-0.034555038318340725,both_correct
memotrap_76,False,False,-0.8576277265649699,-0.0716009036733046,0.0711861367175151,0.4641995481633477,0.7860268228916653,0.3930134114458326,both_wrong
memotrap_77,True,True,0.7632307021996572,0.8393593643256366,0.8816153510998286,0.9196796821628184,0.07612866212597946,0.03806433106298979,both_correct
memotrap_78,True,True,0.9502836717581734,0.9879020804853692,0.9751418358790868,0.9939510402426844,0.037618408727195796,0.018809204363597676,both_correct
memotrap_79,True,True,0.8605583783514721,0.9554269249903156,0.930279189175736,0.9777134624951578,0.09486854663884348,0.04743427331942174,both_correct
memotrap_8,True,True,0.9957984073605364,0.9934162124027508,0.9978992036802682,0.9967081062013754,-0.002382194957785577,-0.0011910974788927886,both_correct
memotrap_80,True,True,0.9961380938116496,0.9989913362838176,0.9980690469058248,0.9994956681419088,0.002853242472168005,0.001426621236084058,both_correct
memotrap_81,True,True,0.5544250218806585,0.7622973818280605,0.7772125109403293,0.8811486909140303,0.20787235994740205,0.10393617997370097,both_correct
memotrap_82,True,True,0.7134937191614252,0.9045129627697694,0.8567468595807126,0.9522564813848848,0.1910192436083442,0.09550962180417222,both_correct
memotrap_83,True,False,0.5193785517654799,-0.044394681735195,0.7596892758827399,0.4778026591324025,-0.5637732335006749,-0.28188661675033744,regression
memotrap_84,True,True,0.6374027509198203,0.6838207481965859,0.8187013754599102,0.841910374098293,0.046417997276765544,0.023208998638382772,both_correct
memotrap_86,False,False,-0.6797981716218027,-0.5469582843852627,0.1601009141890986,0.2265208578073686,0.13283988723653994,0.06641994361827,both_wrong
memotrap_87,True,True,0.8762641160717008,0.9229888741623188,0.9381320580358504,0.9614944370811594,0.046724758090617935,0.023362379045309023,both_correct
memotrap_88,True,True,0.7922714063582461,0.8652426460558102,0.896135703179123,0.9326213230279052,0.07297123969756414,0.03648561984878218,both_correct
memotrap_89,False,True,-0.2136213633257943,0.3419808184792268,0.3931893183371028,0.6709904092396134,0.5556021818050211,0.2778010909025106,improvement
memotrap_9,True,True,0.940746743326818,0.9659617516804354,0.970373371663409,0.9829808758402176,0.025215008353617452,0.01260750417680867,both_correct
memotrap_93,True,True,0.8896257519534208,0.9661688532245593,0.9448128759767104,0.9830844266122796,0.0765431012711385,0.038271550635569196,both_correct
memotrap_95,True,True,0.6293826327128095,0.2977408854981264,0.8146913163564047,0.6488704427490632,-0.3316417472146831,-0.16582087360734143,both_correct
