task,baseline,n,target_win_rate,mean_p_target,mean_margin
memotrap,global_pccf_pi0.7,88,0.8636363636363636,0.8327701152670386,0.6655402305340772
memotrap,conflict_prompt_pccf_pi0.7,88,0.8636363636363636,0.819386895909442,0.6387737918188842
memotrap,conflict_prompt,88,0.8522727272727273,0.7980949224751565,0.5961898449503129
memotrap,standard,88,0.8068181818181818,0.7697619282208723,0.5395238564417447
