item_id,reference_prefers_target,control_prefers_target,reference_margin,control_margin,reference_p_target,control_p_target,margin_delta,p_target_delta,paired_outcome
memotrap_0,False,True,-0.8501794527754001,0.0026405528904647,0.0749102736122999,0.5013202764452324,0.8528200056658648,0.42641000283293246,improvement
memotrap_1,False,False,-0.3568538109140214,-0.3568538109140214,0.3215730945429892,0.3215730945429892,0.0,0.0,both_wrong
memotrap_10,True,True,0.8511836517267303,0.9204259044034968,0.9255918258633652,0.9602129522017484,0.06924225267676654,0.03462112633838321,both_correct
memotrap_12,False,False,-0.7339872871880125,-0.0310965709997959,0.1330063564059937,0.484451714500102,0.7028907161882166,0.35144535809410826,both_wrong
memotrap_13,True,True,0.9789085559582954,0.9789085559582954,0.9894542779791478,0.9894542779791478,0.0,0.0,both_correct
memotrap_14,True,True,0.8927201867194184,0.8927201867194184,0.9463600933597092,0.9463600933597092,0.0,0.0,both_correct
memotrap_15,True,True,0.9816354367530036,0.9816354367530036,0.9908177183765018,0.9908177183765018,0.0,0.0,both_correct
memotrap_16,True,True,0.2330177927437163,0.2330177927437163,0.6165088963718582,0.6165088963718582,0.0,0.0,both_correct
memotrap_17,False,False,-0.2115717641700378,-0.1634007200196181,0.3942141179149811,0.4182996399901909,0.0481710441504197,0.024085522075209753,both_wrong
memotrap_18,True,True,0.096979430638993,0.6670702367219041,0.5484897153194965,0.8335351183609521,0.5700908060829111,0.28504540304145554,both_correct
memotrap_19,True,True,0.2159048348549739,0.6770275943550133,0.607952417427487,0.8385137971775066,0.46112275950003934,0.23056137975001967,both_correct
memotrap_2,True,True,0.9983903423183852,0.9983903423183852,0.9991951711591924,0.9991951711591924,0.0,0.0,both_correct
memotrap_20,False,False,-0.1252502206440979,-0.0557583707478382,0.437374889677951,0.4721208146260808,0.0694918498962597,0.03474592494812978,both_wrong
memotrap_21,True,True,0.7177160868408607,0.8341808008649612,0.8588580434204304,0.9170904004324806,0.11646471402410041,0.05823235701205021,both_correct
memotrap_23,True,True,0.9723433552396796,0.9723433552396796,0.9861716776198398,0.9861716776198398,0.0,0.0,both_correct
memotrap_24,True,True,0.1695677506993245,0.1695677506993245,0.5847838753496623,0.5847838753496623,0.0,0.0,both_correct
memotrap_25,False,False,-0.9844257779411378,-0.9844257779411378,0.0077871110294311,0.0077871110294311,0.0,0.0,both_wrong
memotrap_26,False,False,-0.6474325411189803,-0.0115240553309388,0.1762837294405098,0.4942379723345306,0.6359084857880415,0.3179542428940208,both_wrong
memotrap_27,True,True,0.959650597454147,0.959650597454147,0.9798252987270736,0.9798252987270736,0.0,0.0,both_correct
memotrap_28,True,True,0.6308247595169832,0.9603442828866002,0.8154123797584917,0.9801721414433,0.329519523369617,0.16475976168480833,both_correct
memotrap_29,True,True,0.8740616886503101,0.8626357748751053,0.937030844325155,0.9313178874375526,-0.011425913775204743,-0.005712956887602427,both_correct
memotrap_3,True,True,0.5454859112889904,0.6282480709560336,0.7727429556444951,0.8141240354780168,0.08276215966704326,0.04138107983352168,both_correct
memotrap_30,False,False,-0.9037122770997243,-0.6388312799757485,0.0481438614501378,0.1805843600121257,0.26488099712397584,0.1324404985619879,both_wrong
memotrap_31,True,True,0.8784118325925147,0.9663142149219413,0.9392059162962572,0.9831571074609706,0.0879023823294266,0.043951191164713466,both_correct
memotrap_32,True,True,0.649207677625385,0.8992738925061788,0.8246038388126925,0.9496369462530896,0.25006621488079384,0.12503310744039708,both_correct
memotrap_33,True,True,0.4606186584781273,0.6807447623654908,0.7303093292390637,0.8403723811827454,0.22012610388736348,0.11006305194368171,both_correct
memotrap_34,True,True,0.949185963421512,0.949185963421512,0.974592981710756,0.974592981710756,0.0,0.0,both_correct
memotrap_37,True,True,0.8642282455489141,0.8642282455489141,0.932114122774457,0.932114122774457,0.0,0.0,both_correct
memotrap_38,True,True,0.8414032293067597,0.9415034187960734,0.92070161465338,0.9707517093980368,0.10010018948931365,0.050050094744656826,both_correct
memotrap_39,True,True,0.1530266717812076,0.1530266717812076,0.5765133358906038,0.5765133358906038,0.0,0.0,both_correct
memotrap_4,False,True,-0.1087471685583043,0.0662174508890092,0.4456264157208479,0.5331087254445046,0.1749646194473135,0.08748230972365673,improvement
memotrap_40,False,False,-0.9547939706624607,-0.7194890794246391,0.0226030146687695,0.1402554602876805,0.2353048912378216,0.11765244561891099,both_wrong
memotrap_41,True,True,0.7636534815906388,0.8917289265093821,0.8818267407953194,0.9458644632546912,0.12807544491874323,0.06403772245937178,both_correct
memotrap_42,True,True,0.000333949911101,0.164576473160545,0.5001669749555505,0.5822882365802725,0.164242523249444,0.082121261624722,both_correct
memotrap_43,True,True,0.2170392266833063,0.3878310813348272,0.6085196133416532,0.6939155406674136,0.17079185465152089,0.0853959273257604,both_correct
memotrap_44,True,True,0.8012532883558999,0.8731871120475282,0.90062664417795,0.936593556023764,0.07193382369162826,0.03596691184581402,both_correct
memotrap_45,True,True,0.8407322470368814,0.8541509373873519,0.9203661235184408,0.927075468693676,0.013418690350470497,0.006709345175235137,both_correct
memotrap_46,True,True,0.8898227250477516,0.8898227250477516,0.944911362523876,0.944911362523876,0.0,0.0,both_correct
memotrap_47,True,True,0.920903356765346,0.9821453238336908,0.960451678382673,0.9910726619168454,0.06124196706834484,0.03062098353417242,both_correct
memotrap_48,False,True,-0.2509106203007599,0.3619464767103378,0.37454468984962,0.6809732383551689,0.6128570970110977,0.30642854850554885,improvement
memotrap_49,False,False,-0.2262005870297109,-0.1227167389040977,0.3868997064851445,0.4386416305479511,0.1034838481256132,0.05174192406280659,both_wrong
memotrap_5,False,False,-0.7282983606293372,-0.6898742913788655,0.1358508196853314,0.1550628543105672,0.038424069250471704,0.019212034625235824,both_wrong
memotrap_50,False,False,-0.9566013899124134,-0.774526333248479,0.0216993050437933,0.1127368333757605,0.18207505666393442,0.0910375283319672,both_wrong
memotrap_51,False,False,-0.8677474235696887,-0.8305083210937492,0.0661262882151556,0.0847458394531254,0.037239102475939534,0.01861955123796981,both_wrong
memotrap_52,True,True,0.4448679541308831,0.6114401149602886,0.7224339770654415,0.8057200574801443,0.1665721608294055,0.08328608041470276,both_correct
memotrap_53,False,True,-0.2588412565431734,0.5234823778933182,0.3705793717284133,0.7617411889466591,0.7823236344364917,0.3911618172182458,improvement
memotrap_54,True,True,0.410907350223252,0.9243836464412092,0.705453675111626,0.9621918232206048,0.5134762962179572,0.25673814810897877,both_correct
memotrap_55,True,True,0.3540922038885725,0.6627670457477408,0.6770461019442863,0.8313835228738704,0.3086748418591683,0.15433742092958413,both_correct
memotrap_56,False,True,-0.0947122299210778,0.0450272838836418,0.452643885039461,0.5225136419418209,0.1397395138047196,0.06986975690235991,improvement
memotrap_57,False,False,-0.888527548823377,-0.7139994869736407,0.0557362255883115,0.1430002565131796,0.17452806184973635,0.0872640309248681,both_wrong
memotrap_58,True,True,0.0211648622216885,0.6783198104760507,0.5105824311108442,0.8391599052380254,0.6571549482543623,0.3285774741271812,both_correct
memotrap_59,True,False,0.0723831772768346,-0.0281625330897621,0.5361915886384173,0.4859187334551189,-0.10054571036659671,-0.05027285518329844,regression
memotrap_6,False,False,-0.56692129785764,-0.56692129785764,0.2165393510711799,0.2165393510711799,0.0,0.0,both_wrong
memotrap_60,False,False,-0.4099139186281137,-0.1425529407747815,0.2950430406859431,0.4287235296126092,0.26736097785333224,0.13368048892666606,both_wrong
memotrap_61,True,True,0.9909662216527088,0.9909662216527088,0.9954831108263544,0.9954831108263544,0.0,0.0,both_correct
memotrap_62,True,True,0.8450063411399695,0.8450063411399695,0.9225031705699848,0.9225031705699848,0.0,0.0,both_correct
memotrap_63,True,True,0.8438695134802825,0.988089009826102,0.9219347567401412,0.994044504913051,0.14421949634581954,0.07210974817290972,both_correct
memotrap_64,True,True,0.9886652046162294,0.9886652046162294,0.9943326023081148,0.9943326023081148,0.0,0.0,both_correct
memotrap_66,True,True,0.8707862727357567,0.988686917929116,0.9353931363678784,0.994343458964558,0.1179006451933593,0.05895032259667965,both_correct
memotrap_67,False,False,-0.7318059413530011,-0.7318059413530011,0.1340970293234994,0.1340970293234994,0.0,0.0,both_wrong
memotrap_68,False,True,-0.3486667380973705,0.6495856350355382,0.3256666309513147,0.8247928175177691,0.9982523731329087,0.4991261865664544,improvement
memotrap_69,False,True,-0.0167437341209744,0.1439757579545341,0.4916281329395127,0.5719878789772671,0.1607194920755085,0.08035974603775442,improvement
memotrap_7,True,True,0.7598836423152773,0.8266252820771036,0.8799418211576386,0.9133126410385518,0.06674163976182634,0.03337081988091317,both_correct
memotrap_70,True,True,0.5399948782802413,0.7763152891722752,0.7699974391401206,0.8881576445861376,0.23632041089203393,0.11816020544601691,both_correct
memotrap_71,False,True,-0.0563845690952058,0.3192743175711727,0.471807715452397,0.6596371587855864,0.3756588866663785,0.18782944333318935,improvement
memotrap_72,False,False,-0.777813251463771,-0.7041002298184011,0.1110933742681145,0.1479498850907994,0.07371302164536986,0.0368565108226849,both_wrong
memotrap_73,True,True,0.9056716614984652,0.9056716614984652,0.9528358307492326,0.9528358307492326,0.0,0.0,both_correct
memotrap_74,True,True,0.9745716659116702,0.9745716659116702,0.987285832955835,0.987285832955835,0.0,0.0,both_correct
memotrap_75,True,True,0.8036552368526635,0.8036552368526635,0.9018276184263316,0.9018276184263316,0.0,0.0,both_correct
memotrap_76,False,False,-0.6681949523437631,-0.0716009036733046,0.1659025238281184,0.4641995481633477,0.5965940486704585,0.2982970243352293,both_wrong
memotrap_77,True,True,0.7471827356257366,0.8393593643256366,0.8735913678128683,0.9196796821628184,0.09217662869990007,0.04608831434995009,both_correct
memotrap_78,True,True,0.804631760407756,0.9879020804853692,0.902315880203878,0.9939510402426844,0.18327032007761324,0.09163516003880645,both_correct
memotrap_79,True,True,0.8298033393009019,0.9554269249903156,0.9149016696504508,0.9777134624951578,0.12562358568941367,0.06281179284470695,both_correct
memotrap_8,True,True,0.9934162124027508,0.9934162124027508,0.9967081062013754,0.9967081062013754,0.0,0.0,both_correct
memotrap_80,True,True,0.9989913362838176,0.9989913362838176,0.9994956681419088,0.9994956681419088,0.0,0.0,both_correct
memotrap_81,True,True,0.5597467265583187,0.7622973818280605,0.7798733632791593,0.8811486909140303,0.2025506552697418,0.1012753276348709,both_correct
memotrap_82,True,True,0.9045129627697694,0.9045129627697694,0.9522564813848848,0.9522564813848848,0.0,0.0,both_correct
memotrap_83,False,False,-0.044394681735195,-0.044394681735195,0.4778026591324025,0.4778026591324025,0.0,0.0,both_wrong
memotrap_84,True,True,0.6838207481965859,0.6838207481965859,0.841910374098293,0.841910374098293,0.0,0.0,both_correct
memotrap_86,False,False,-0.5775326352354051,-0.5469582843852627,0.2112336823822974,0.2265208578073686,0.030574350850142373,0.015287175425071214,both_wrong
memotrap_87,True,True,0.9229888741623188,0.9229888741623188,0.9614944370811594,0.9614944370811594,0.0,0.0,both_correct
memotrap_88,True,True,0.7617215415435284,0.8652426460558102,0.8808607707717642,0.9326213230279052,0.1035211045122818,0.05176055225614107,both_correct
memotrap_89,True,True,0.3419808184792268,0.3419808184792268,0.6709904092396134,0.6709904092396134,0.0,0.0,both_correct
memotrap_9,True,True,0.9659617516804354,0.9659617516804354,0.9829808758402176,0.9829808758402176,0.0,0.0,both_correct
memotrap_93,True,True,0.9661688532245593,0.9661688532245593,0.9830844266122796,0.9830844266122796,0.0,0.0,both_correct
memotrap_95,True,True,0.2977408854981264,0.2977408854981264,0.6488704427490632,0.6488704427490632,0.0,0.0,both_correct
memotrap_96,True,True,0.8890034229621591,0.8890034229621591,0.9445017114810796,0.9445017114810796,0.0,0.0,both_correct
memotrap_97,True,True,0.3755140599757208,0.7709629481633343,0.6877570299878604,0.8854814740816672,0.39544888818761353,0.19772444409380685,both_correct
